,"
State",,,,,,,,,,,,
,,,,,,,,,,,,,
,State,Average weekly hours,,,Average hourly earnings,,,Average weekly earnings,,,Average Yearly Earnings ,,
,,2015,2016,2017,2015,2016,2017,2015,2016,2017,2015,2016,2017
,,,,,,,,,,,,,
AL,Alabama,35.5,35.6,35.3,21.02,21.85,22.59,746.21,777.86,797.43,38909.55341,40559.87619,41580.31275
AK,Alaska,34.7,34.4,35.1,27.89,28.22,28.29,967.78,970.77,992.98,50462.85576,50618.76303,51776.85684
AZ,Arizona,34.7,34.3,34.8,23.13,23.99,25.26,802.61,822.86,879.05,41850.41297,42906.30669,45836.21625
AR,Arkansas,34.5,34.2,34.8,19.51,20.07,20.62,673.1,686.39,717.58,35097.38599,35790.36513,37416.70218
CA,California,34.6,34.4,34.5,28.05,28.88,29.98,970.53,993.47,1034.31,50606.24874,51802.40686,53931.9229
,,,,,,,,,,,0,0,0
CO,Colorado,34,33.5,33.5,26.85,27.07,27.6,912.9,906.85,924.6,47601.25341,47285.78887,48211.32534
CN,Connecticut,33.5,33.6,33.7,29.14,30.43,31.16,976.19,1022.45,1050.09,50901.37755,53313.50811,54754.73786
DE,Delaware,33.1,33.2,32.9,22.63,24.4,26.23,749.05,810.08,862.97,39057.63925,42239.92043,44997.75841
DC,District of Columbia,35.6,35.6,35.5,38.28,38.41,40.65,1362.77,1367.4,1443.08,71058.77983,71300.20146,75246.37613
FL,Florida,34.3,34,34.3,22.63,23.31,24.04,776.21,792.54,824.57,40473.84041,41325.33397,42995.47105
,,,,,,,,,,,0,0,0
GA,Georgia,35.1,34.8,34.7,23.84,24.47,25.92,836.78,851.56,899.42,43632.13586,44402.80792,46898.36712
HI,Hawaii,33.3,32.7,33.1,24.63,25.42,26.18,820.18,831.23,866.56,42766.56372,43342.74277,45184.95142
ID,Idaho,33.4,32.9,33.6,22.08,22.39,22.5,737.47,736.63,756,38453.82446,38410.02443,39420.0324
IL,Illinois,34.3,34.1,34.2,25.98,26.57,26.81,891.11,906.04,916.9,46465.05962,47243.55312,47809.82501
IN,Indiana,34.9,34.7,35.1,22.85,23.52,24.45,797.47,816.14,858.2,41582.39846,42555.90641,44749.03678
,,,,,,,,,,,0,0,0
IA,Iowa,34.7,34.5,34.4,22.55,23.23,23.42,782.49,801.44,805.65,40801.29782,41789.40578,42008.92739
KS,Kansas,34.3,33.8,34.1,22.57,22.88,23.25,774.15,773.34,792.83,40366.42604,40324.19029,41340.45541
KY,Kentucky,35.3,35.1,35.1,21.08,21.26,21.82,744.12,746.23,765.88,38800.57475,38910.59627,39935.20425
LA,Louisiana,35.9,35.1,35.5,22.19,22.65,22.98,796.62,795.02,815.79,41538.077,41454.64836,42537.65639
ME,Maine,34.3,33.9,34,21.85,22.25,23.22,749.46,754.28,789.48,39079.01783,39330.34661,41165.77669
,,,,,,,,,,,0,0,0
MD,Maryland,34.3,34.3,34.4,27.31,27.27,28.34,936.73,935.36,974.9,48843.81872,48772.38294,50834.11321
